company,role,location,market,source,source_url,status,priority_score,deadline,applied_date,follow_up_date,contact,cv_version,message_status,follow_up_state,notes
IBM,Data Engineer - Data Integration Intern,Giza,Egypt,LinkedIn,https://eg.linkedin.com/jobs/view/data-engineer-data-integration-intern-at-ibm-4357412911,Target,96.0,,,,,Data Engineering CV,Not drafted,Not due,"Best-fit Egypt role; emphasize ETL/ELT, SQL, Python, data integration, Parquet, Git, data quality, and Airflow/dbt awareness"
PwC ETIC,Data Engineering Intern,Cairo,Egypt,PwC Workday,https://pwc.wd3.myworkdayjobs.com/en-US/Global_Campus_Careers/job/ETIC--Data-Engineering-Intern_685363WD,Target,95.0,,,,,Data Engineering CV,Not drafted,Not due,"Strong current Egypt signal; alt link: https://eg.linkedin.com/jobs/view/etic-data-engineering-intern-at-pwc-4348068359; tailor around ETL, SQL, data quality, DuckDB/SQLite, and portfolio pipelines"
Thndr,Data Engineering Intern - Graduate Program,Cairo,Egypt,LinkedIn,https://eg.linkedin.com/jobs/view/data-engineering-intern-graduate-program-at-thndr-4414533407,Target,92.8,,,,,Data Engineering CV,Not drafted,Not due,"Top Egypt DE internship (fintech). LinkedIn details: ETL/ELT, modeling, data quality, Python/SQL, concurrency; nice-to-have Airflow/dbt/Spark/Kafka + cloud warehouse. Lead with Retail pipeline + OpsTwin DuckDB SQL lab."
Amazon Web Services,2026 Business Intelligence Engineer Internship,Dubai,UAE,Amazon.jobs,https://amazon.jobs/en/jobs/10392627/2026-business-intelligence-engineer-internship,Target,92.0,,,,,Data Engineering CV,Not drafted,Not due,"Strong Gulf data role; emphasize SQL, BI, automated metrics, data integrity, dashboards, and pipeline projects"
DP World,Intern Power BI & Data Analytics - Group HSE,Dubai,UAE,LinkedIn,https://ae.linkedin.com/jobs/view/intern-power-bi-data-analytics-%E2%80%93-group-hse-at-dp-world-4410091160,Target,84.0,,,,,BI/Data Analyst CV,Not drafted,Not due,"Good Gulf BI role; emphasize Power BI/Tableau, Streamlit dashboards, KPI definitions, reporting automation, and data accuracy"
Badgewell,"Data Engineer Internship (6-month, paid)",Cairo,Egypt,LinkedIn,https://eg.linkedin.com/company/badgewell/,Target,83.5,,,,dataengineerinternship-linkedin@th.assesstm.com,Data Engineering CV,Not drafted,Not due,LinkedIn post: Databricks/PySpark + Power BI + multi-source integrations (ERP/POS/CRM) + data quality. Apply via listed email; verify legitimacy quickly before sending.
IBM,Data Engineer - Business Intelligence Internship,Giza,Egypt,Egyincs,https://egyincs.com/opportunities/ibm-egypt-data-engineer-business-intelligence-internship/,Watchlist,82.0,,,,,Data Engineering CV,Not drafted,Not due,Alt IBM internship track; verify active opening + exact reqs; angle: SQL + data modeling + BI semantics + data quality
dubizzle,Data Analyst - Intern,Dubai,UAE,LinkedIn,https://ae.linkedin.com/jobs/view/data-analyst-intern-at-dubizzle-4388074601,Target,82.0,,,,,BI/Data Analyst CV,Not drafted,Not due,"Strong startup/platform data exposure; emphasize Python, SQL, dashboarding, business metrics, and product usage analytics"
TikTok,Product Data Analyst Project Intern (GBS) - 2026 Start,Dubai,UAE,LinkedIn,https://ae.linkedin.com/jobs/view/product-data-analyst-project-intern-gbs-2026-start-bs-ms-at-tiktok-4408362941,Target,80.0,,,,,BI/Data Analyst CV,Not drafted,Not due,"Good brand and analytics fit; communication-heavy, so tailor around structured analysis, SQL, product metrics, and concise reporting"
RentUp Egypt,Data Analyst Intern or Junior Data Analyst,Zamalek Cairo,Egypt,LinkedIn,https://eg.linkedin.com/jobs/view/data-analyst-intern-or-junior-at-rentup-egypt-4314309640,Target,78.0,,,,,BI/Data Analyst CV,Not drafted,Not due,"Practical Egypt entry role; emphasize Python, SQL, dashboards, automation, and real-estate/business KPI angle"
